date,gdp,gni,gdp_capita,gni_capita,gdp_growth_yoy,gni_growth_yoy,gdp_capita_growth_yoy,gni_capita_growth_yoy
1/1/2004,692582.849,689190.045,27116.586,26983.317,6.783,6.908,4.683,4.804
1/1/2005,729512.33,725841.3,28008.077,27867.819,5.332,5.318,3.288,3.278
1/1/2006,772180.479,779772.006,29084.686,29369.934,5.849,7.43,3.844,5.39
1/1/2007,822219.26,826024.477,30387.01,30528.171,6.48,5.932,4.478,3.944
1/1/2008,861746.893,845705.943,31259.015,30677.013,4.807,2.383,2.87,0.488
1/1/2009,847648.672,851031.777,30185.653,30305.762,-1.636,0.63,-3.434,-1.21
1/1/2010,908628.92,884216.877,31782.997,30929.129,7.194,3.899,5.292,2.057
1/1/2011,956730.943,932856.961,32920.119,32098.742,5.294,5.501,3.578,3.782
1/1/2012,1009097.173,969270.593,34195.51,32845.87,5.473,3.903,3.874,2.328
1/1/2013,1056461.394,1019210.369,34966.496,33733.086,4.694,5.152,2.255,2.701
1/1/2014,1119920.092,1081263.192,36469.753,35210.666,6.007,6.088,4.299,4.38
1/1/2015,1176941,1155866,37739,37063,5.092,6.9,3.48,5.261
1/1/2016,1229312,1211301,38861,38292,4.45,4.796,2.973,3.316
1/1/2017,1300769,1281719,40620,40025,5.813,5.813,4.526,4.526
1/1/2018,1363766,1335058,42115,41228,4.843,4.162,3.68,3.006
1/1/2019,1423952,1402096,43783,43111,4.413,5.021,3.961,4.567
1/1/2020,1346249,1332466,41490,41065,-5.457,-4.966,-5.237,-4.746
1/1/2021,1390900,1370000,42697.078,42055.501,3.317,2.817,2.909,2.412
1/1/2022,1514100,1484000,46305.584,45385.039,8.858,8.321,8.451,7.917
1/1/2023,1568000,1542900,46975.643,46223.674,3.56,3.969,1.447,1.848
